"","cdfw_block_id","landing_year","landing_month","catch_lbs","catch_receipts","catch_per_receipts"
"1",133,2005,1,0,0,NA
"2",133,2005,2,0,0,NA
"3",133,2005,3,0,0,NA
"4",133,2005,4,0,0,NA
"5",133,2005,5,0,0,NA
"6",133,2005,6,0,0,NA
"7",133,2005,7,0,0,NA
"8",133,2005,8,0,0,NA
"9",133,2005,9,0,0,NA
"10",133,2005,10,0,0,NA
"11",133,2005,11,0,0,NA
"12",133,2005,12,0,0,NA
"13",133,2006,1,0,0,NA
"14",133,2006,2,0,0,NA
"15",133,2006,3,0,0,NA
"16",133,2006,4,0,0,NA
"17",133,2006,5,0,0,NA
"18",133,2006,6,0,0,NA
"19",133,2006,7,0,0,NA
"20",133,2006,8,0,0,NA
"21",133,2006,9,0,0,NA
"22",133,2006,10,0,0,NA
"23",133,2006,11,0,0,NA
"24",133,2006,12,0,0,NA
"25",133,2007,1,0,0,NA
"26",133,2007,2,0,0,NA
"27",133,2007,3,0,0,NA
"28",133,2007,4,0,0,NA
"29",133,2007,5,0,0,NA
"30",133,2007,6,0,0,NA
"31",133,2007,7,0,0,NA
"32",133,2007,8,0,0,NA
"33",133,2007,9,0,0,NA
"34",133,2007,10,0,0,NA
"35",133,2007,11,0,0,NA
"36",133,2007,12,0,0,NA
"37",133,2008,1,0,0,NA
"38",133,2008,2,0,0,NA
"39",133,2008,3,0,0,NA
"40",133,2008,4,0,0,NA
"41",133,2008,5,0,0,NA
"42",133,2008,6,0,0,NA
"43",133,2008,7,0,0,NA
"44",133,2008,8,0,0,NA
"45",133,2008,9,0,0,NA
"46",133,2008,10,0,0,NA
"47",133,2008,11,0,0,NA
"48",133,2008,12,0,0,NA
"49",133,2009,1,0,0,NA
"50",133,2009,2,0,0,NA
"51",133,2009,3,0,0,NA
"52",133,2009,4,0,0,NA
"53",133,2009,5,0,0,NA
"54",133,2009,6,0,0,NA
"55",133,2009,7,0,0,NA
"56",133,2009,8,0,0,NA
"57",133,2009,9,0,0,NA
"58",133,2009,10,0,0,NA
"59",133,2009,11,0,0,NA
"60",133,2009,12,0,0,NA
"61",133,2010,1,0,0,NA
"62",133,2010,2,0,0,NA
"63",133,2010,3,0,0,NA
"64",133,2010,4,0,0,NA
"65",133,2010,5,0,0,NA
"66",133,2010,6,0,0,NA
"67",133,2010,7,0,0,NA
"68",133,2010,8,0,0,NA
"69",133,2010,9,0,0,NA
"70",133,2010,10,0,0,NA
"71",133,2010,11,0,0,NA
"72",133,2010,12,0,0,NA
